nama_sekolah,npsn,bp,status,pd,guru,kecamatan,wilayah
SMAS BUDAYA JAKARTA,20103218,SMA,Swasta,99,9,Duren Sawit,Kota Jakarta Timur
SMAS KRISTEN SAMARIA KUDUS,20101313,SMA,Swasta,45,8,Kembangan,Kota Jakarta Barat
SMA SAMPOERNA,69949830,SPK SMA,Swasta,73,7,Pancoran,Kota Jakarta Selatan
SMAS PGRI 1 JAKARTA,20103169,SMA,Swasta,24,7,Duren Sawit,Kota Jakarta Timur
SMAS NASIONAL NUSANTARA,20104434,SMA,Swasta,57,7,Cengkareng,Kota Jakarta Barat
SMA Raffles Christian School Kelapa Gading,69939320,SPK SMA,Swasta,80,7,Kelapa Gading,Kota Jakarta Utara
SMAS IMPIAN BUNDA,20104416,SMA,Swasta,51,6,Cengkareng,Kota Jakarta Barat
SMAS EL SHADDAI INTERCONTINENTAL SCHOOL,69899284,SPK SMA,Swasta,6,6,Pesanggrahan,Kota Jakarta Selatan
SMAS SUKSES ABADI,69973260,SMA,Swasta,41,4,Penjaringan,Kota Jakarta Utara
SMAS CAKRA BUANA,20101331,SMA,Swasta,25,2,Kali Deres,Kota Jakarta Barat
SMAS BOROBUDUR JAKARTA,20107285,SMA,Swasta,0,1,Pasar Minggu,Kota Jakarta Selatan
SMAS ISLAM AL - JIHAD JAKARTA,20100505,SMA,Swasta,46,0,Johar Baru,Kota Jakarta Pusat
SMAS 2 GALATIA,20101351,SMA,Swasta,0,0,Grogol Petamburan,Kota Jakarta Barat
SMA JAGAKARSA,70006224,SMA,Swasta,0,0,Jagakarsa,Kota Jakarta Selatan
SMAS PAH TSUNG,70008196,SMA,Swasta,0,0,Cengkareng,Kota Jakarta Barat
SMAN 13 JAKARTA,20100806,SMA,Negeri,966,47,Koja,Kota Jakarta Utara
SMAN 110 JAKARTA,20100802,SMA,Negeri,869,46,Koja,Kota Jakarta Utara
SMAN 16 JAKARTA,20101625,SMA,Negeri,782,40,Palmerah,Kota Jakarta Barat
SMAN 85 JAKARTA,20101586,SMA,Negeri,781,35,Kembangan,Kota Jakarta Barat
SMAN 74 JAKARTA,20102569,SMA,Negeri,780,45,Kebayoran Lama,Kota Jakarta Selatan
SMAN 56 JAKARTA,20101605,SMA,Negeri,701,38,Kali Deres,Kota Jakarta Barat
SMAN 77 JAKARTA,20100201,SMA,Negeri,672,36,Cempaka Putih,Kota Jakarta Pusat
SMAS KRISTEN 5 BPK PENABUR,20100601,SMA,Swasta,671,49,Kelapa Gading,Kota Jakarta Utara
SMAS YAPPENDA,20107400,SMA,Swasta,600,27,Tanjung Priok,Kota Jakarta Utara
SMAS KRISTEN 6 PENABUR,20110335,SMA,Swasta,579,41,Penjaringan,Kota Jakarta Utara
SMAN 114 JAKARTA,20100804,SMA,Negeri,553,31,Cilincing,Kota Jakarta Utara
SMAS PGRI 4 JAKARTA,20103182,SMA,Swasta,549,22,Cipayung,Kota Jakarta Timur
SMAN 20 JAKARTA,20100218,SMA,Negeri,540,34,Sawah Besar,Kota Jakarta Pusat
SMAS KRISTEN 7 BPK PENABUR JAKARTA,20103228,SMA,Swasta,519,39,Duren Sawit,Kota Jakarta Timur
SMAS ISLAM AL-AZHAR 1 JAKARTA,20107304,SMA,Swasta,491,32,Kebayoran Baru,Kota Jakarta Selatan
SMA JAKARTA INTERCULTURAL SCHOOL,69853555,SPK SMA,Swasta,485,52,Cilandak,Kota Jakarta Selatan
SMAS MALAHAYATI,20103231,SMA,Swasta,443,14,Pasar Rebo,Kota Jakarta Timur
SMAS ISLAM AS SYAFIIYAH 01 JAKARTA,20107279,SMA,Swasta,435,19,Tebet,Kota Jakarta Selatan
SMA PRESTASI PRIMA,69989466,SMA,Swasta,390,8,Cipayung,Kota Jakarta Timur
SMA CENDERAWASIH 1,20107288,SMA,Swasta,372,27,Cilandak,Kota Jakarta Selatan
